x(mm),MC_Dose_X(Gy/MU)
-49.5,9.68E-06
-48.5,2.39E-05
-47.5,1.54E-05
-46.5,1.70E-05
-45.5,1.49E-05
-44.5,1.76E-05
-43.5,2.23E-05
-42.5,2.68E-05
-41.5,3.46E-05
-40.5,3.32E-05
-39.5,3.54E-05
-38.5,2.97E-05
-37.5,5.67E-05
-36.5,5.00E-05
-35.5,6.06E-05
-34.5,5.00E-05
-33.5,7.43E-05
-32.5,9.21E-05
-31.5,1.08E-04
-30.5,1.49E-04
-29.5,1.53E-04
-28.5,1.75E-04
-27.5,2.23E-04
-26.5,2.72E-04
-25.5,3.31E-04
-24.5,4.21E-04
-23.5,5.41E-04
-22.5,7.11E-04
-21.5,8.01E-04
-20.5,0.001
-19.5,0.00137
-18.5,0.00159
-17.5,0.00192
-16.5,0.00245
-15.5,0.00275
-14.5,0.00331
-13.5,0.00383
-12.5,0.00433
-11.5,0.00498
-10.5,0.00579
-9.5,0.00665
-8.5,0.00731
-7.5,0.00797
-6.5,0.00839
-5.5,0.00916
-4.5,0.00963
-3.5,0.01009
-2.5,0.01044
-1.5,0.01077
-0.5,0.01078
0.5,0.01094
1.5,0.01068
2.5,0.01048
3.5,0.01001
4.5,0.00955
5.5,0.00905
6.5,0.00837
7.5,0.00778
8.5,0.00728
9.5,0.00676
10.5,0.00568
11.5,0.00521
12.5,0.00445
13.5,0.00385
14.5,0.00334
15.5,0.00268
16.5,0.00232
17.5,0.00191
18.5,0.00157
19.5,0.00132
20.5,0.00108
21.5,9.74E-04
22.5,6.93E-04
23.5,5.62E-04
24.5,4.31E-04
25.5,3.80E-04
26.5,3.06E-04
27.5,2.89E-04
28.5,1.77E-04
29.5,1.35E-04
30.5,1.27E-04
31.5,1.00E-04
32.5,8.12E-05
33.5,6.08E-05
34.5,6.31E-05
35.5,6.01E-05
36.5,4.39E-05
37.5,3.61E-05
38.5,4.55E-05
39.5,2.39E-05
40.5,2.52E-05
41.5,1.74E-05
42.5,3.16E-05
43.5,2.45E-05
44.5,2.15E-05
45.5,1.25E-05
46.5,1.65E-05
47.5,1.19E-05
48.5,1.37E-05
49.5,1.21E-05
