x(mm),film_Dose_X(Gy/MU)
-49.5,0
-49.4,0
-49.3,0
-49.2,0
-49.1,0
-49,0
-48.9,0
-48.8,0
-48.7,0
-48.6,0
-48.5,0
-48.4,0
-48.3,0
-48.2,0
-48.1,0
-48,0
-47.9,0
-47.8,0
-47.7,0
-47.6,0
-47.5,0
-47.4,0
-47.3,0
-47.2,0
-47.1,0
-47,0
-46.9,0
-46.8,0
-46.7,0
-46.6,0
-46.5,0
-46.4,0
-46.3,0
-46.2,0
-46.1,0
-46,0
-45.9,0
-45.8,0
-45.7,0
-45.6,0
-45.5,0
-45.4,0
-45.3,0
-45.2,0
-45.1,0
-45,0
-44.9,0
-44.8,0
-44.7,0
-44.6,0
-44.5,0
-44.4,0
-44.3,0
-44.2,0
-44.1,0
-44,0
-43.9,0
-43.8,0
-43.7,0
-43.6,0
-43.5,0
-43.4,0
-43.3,0
-43.2,0
-43.1,0
-43,0
-42.9,0
-42.8,0
-42.7,0
-42.6,0
-42.5,0
-42.4,0
-42.3,0
-42.2,0
-42.1,0
-42,0
-41.9,0
-41.8,0
-41.7,0
-41.6,0
-41.5,0
-41.4,0
-41.3,0
-41.2,0
-41.1,0
-41,0
-40.9,0
-40.8,0
-40.7,0
-40.6,0
-40.5,0
-40.4,0
-40.3,0
-40.2,0
-40.1,0
-40,0
-39.9,0
-39.8,0
-39.7,0
-39.6,0
-39.5,0
-39.4,0
-39.3,0
-39.2,0
-39.1,0
-39,0
-38.9,0
-38.8,0
-38.7,0
-38.6,0
-38.5,0
-38.4,0
-38.3,0
-38.2,0
-38.1,0
-38,0
-37.9,0
-37.8,0
-37.7,0
-37.6,0
-37.5,0
-37.4,0
-37.3,0
-37.2,0
-37.1,0
-37,0
-36.9,0
-36.8,0
-36.7,0
-36.6,0
-36.5,0
-36.4,0
-36.3,0
-36.2,0
-36.1,0
-36,0
-35.9,0
-35.8,0
-35.7,0
-35.6,0
-35.5,0
-35.4,0
-35.3,0
-35.2,0
-35.1,0
-35,0
-34.9,0
-34.8,0
-34.7,0
-34.6,0
-34.5,0
-34.4,0
-34.3,0
-34.2,0
-34.1,0
-34,1.25E-05
-33.9,1.35E-05
-33.8,0
-33.7,0
-33.6,0
-33.5,0
-33.4,9.27E-05
-33.3,4.64E-04
-33.2,6.12E-04
-33.1,0
-33,0
-32.9,0
-32.8,4.17E-05
-32.7,4.28E-05
-32.6,4.16E-05
-32.5,4.19E-05
-32.4,0
-32.3,0
-32.2,0
-32.1,0
-32,0
-31.9,0
-31.8,0
-31.7,5.50E-05
-31.6,5.36E-05
-31.5,3.92E-05
-31.4,2.87E-05
-31.3,3.40E-05
-31.2,3.47E-05
-31.1,2.74E-05
-31,3.13E-05
-30.9,2.37E-05
-30.8,1.72E-05
-30.7,3.02E-05
-30.6,4.43E-05
-30.5,5.62E-05
-30.4,6.92E-05
-30.3,7.95E-05
-30.2,7.54E-05
-30.1,7.35E-05
-30,7.24E-05
-29.9,5.96E-05
-29.8,5.61E-05
-29.7,7.10E-05
-29.6,8.06E-05
-29.5,6.57E-05
-29.4,8.20E-05
-29.3,9.13E-05
-29.2,1.03E-04
-29.1,1.49E-04
-29,1.36E-04
-28.9,1.09E-04
-28.8,1.27E-04
-28.7,1.24E-04
-28.6,1.39E-04
-28.5,1.55E-04
-28.4,1.35E-04
-28.3,1.42E-04
-28.2,1.54E-04
-28.1,1.46E-04
-28,1.49E-04
-27.9,1.43E-04
-27.8,1.49E-04
-27.7,1.86E-04
-27.6,1.99E-04
-27.5,1.84E-04
-27.4,1.76E-04
-27.3,1.93E-04
-27.2,2.12E-04
-27.1,2.17E-04
-27,1.84E-04
-26.9,1.90E-04
-26.8,2.03E-04
-26.7,1.99E-04
-26.6,2.27E-04
-26.5,2.21E-04
-26.4,2.26E-04
